,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1000440,500000,500000,500000
100,1000167,497302,497302,564243
200,1004290,494800,494800,688038
300,994937,482546,482546,884270
400,979080,462702,462864,1193180
500,959700,433758,434083,1694921
600,949214,398465,398949,2489816
700,913553,337806,338215,3603471
800,867754,259142,259556,5065667
900,831384,176634,176776,6776302
1000,789429,98250,96610,8290848
1100,759597,45300,42816,9263194
1200,743964,17833,16611,9725968
1300,742430,6777,6384,9970504
1400,736441,0,0,10054977
1500,736013,0,0,10050239
1600,735122,0,0,10039149
1700,736505,0,0,10058695
1800,736118,0,0,10054129
1900,737074,0,0,10067192
2000,737021,0,0,10066478
2100,738226,0,0,10082786
2200,737203,0,0,10069153
2300,737466,0,0,10072662
2400,736999,0,0,10066532
