,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1004231,500000,500000,500000
100,985919,354050,381734,686240
200,955180,197118,307509,844931
300,936967,89247,280923,942229
400,931869,35441,280556,990293
500,931494,13334,282140,1009962
600,925089,5234,281300,1009920
700,931213,0,280458,1019560
800,930970,0,279262,1019903
900,930703,0,277749,1019835
1000,930607,0,276537,1019540
1100,930344,0,275490,1019458
1200,930197,0,274797,1019399
1300,929975,0,273481,1019117
1400,929727,0,273906,1018846
1500,929656,0,273216,1018549
1600,929472,0,271860,1018894
1700,929365,0,271182,1018847
1800,929318,0,271283,1018794
1900,929185,0,270661,1018728
2000,929172,0,270591,1018481
2100,929098,0,269733,1018624
2200,929049,0,269641,1018378
2300,929012,0,269816,1018324
2400,928930,0,269476,1018460
