,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,996081,500000,500000,500000
100,991917,487600,487600,801044
200,988852,467450,467627,1299323
300,970831,429151,429320,2047018
400,942846,371250,371394,3138212
500,911482,296449,296680,4607469
600,870984,205981,205496,6313337
700,833156,119542,113405,7903323
800,816418,56880,51662,9074397
900,803822,23193,20548,9621094
1000,795638,8671,7501,9813060
1100,792610,3053,646,9908762
1200,789401,0,0,9905474
1300,789187,0,0,9903699
1400,789345,0,0,9906394
1500,789327,0,0,9906839
1600,789335,0,0,9907230
1700,788852,0,0,9901485
1800,789204,0,0,9906194
1900,789039,0,0,9904375
2000,788888,0,0,9902537
2100,788674,0,0,9900179
2200,788803,0,0,9901554
2300,788798,0,0,9901787
2400,788349,0,0,9895958
