,Emissions,Top-50 Polluters Supply,Avg. Polluters Supply,Top-50 Efficient Supply
0,1000325,500000,500000,500000
100,990670,459286,458012,789046
200,970856,389514,382963,1195676
300,938177,292986,280440,1707648
400,908988,187782,165237,2252715
500,881630,96147,79063,2665091
600,864752,40223,32206,2881679
700,863909,15629,12183,2995448
800,859902,6009,4778,3024542
900,861395,0,0,3055746
1000,861011,0,0,3054749
1100,860585,0,0,3053159
1200,860339,0,0,3052804
1300,859949,0,0,3052975
1400,859721,0,0,3052595
1500,859465,0,0,3052282
1600,859387,0,0,3051942
1700,859291,0,0,3052158
1800,859148,0,0,3051796
1900,858856,0,0,3052064
2000,858620,0,0,3051763
2100,858352,0,0,3051460
2200,858194,0,0,3050605
2300,858294,0,0,3051515
2400,858217,0,0,3051211
